"PUBLIC SECTOR"	"AT&T GRP"
"SG&A"	"Manager, Internet Technical Development"
"SOFTWARE SALES"	"Web Producer, WW Web Production Services North 1, ibm.com"
"2"	"IT Consultant"
"SYS GROUP MFG"	"IT Architect"
"REAL ESTATE"	"Business Partner Territory Representative, NY Financial Business Unit"
"2"	"WebSphere Business Development WW-Tech.Acc.Mngr - Dassault Systémes !! Manager is Mark Sherman/Pittsburgh"
"2"	"Manager, Testing & Suppo"
"2"	"CLIENT UNIT EXECUTIVE"
"2"	"Directeur IT Consulting France"
"WW SALES"	"Tivoli WW Course Development Lead"
"SOFTWARE SALES"	"SMB Requirements Coordinator"
"STRATEGIC OUTSOURCING"	"IGS ITS e.Service Web"
"PUBLIC SECTOR"	"DB2 Translation Focal Point"
"2"	"International Sales Manager (EMEA West Region)"
"RESEARCH"	"Internal & Executive Communications"
"TG STAFF"	"Logic Design"
"2"	"MOP SO/SD site manager"
"WW SALES"	"SWG Lab Security Automation"
"SYS GROUP MFG"	"WW eServer Test engineer"
"SOFTWARE SALES"	"Global Small & Medium Business - Marketing Executive - Offering Initiatives"
"PUBLIC SECTOR"	"Director, Learning Development"
"0"	"Sr Software Engineer"
"PUBLIC SECTOR"	"Manager, TPF Systems Services"
"PUBLIC SECTOR"	"Systems Mgmt Integr Prof - Adv"
"WW SALES"	"Req Pro QE Engineering"
"REAL ESTATE"	"Vice President, Communications Sector, Americas"
"TG STAFF"	"SG Technology Commercialization"
"SW"	"IT-Architect WW Business Transformation Team"
"TG STAFF"	"Director, Public Relations, TG"
"REAL ESTATE"	"Managing Director, U.S. Federal"
"PUBLIC SECTOR"	"Account Support Manager, IBM Server Group"
"HUMAN RESOURCES"	"Director of Financial Data Mgmt."
"2"	"Communications Manager for IBM Denmark / Kommunikationschef for IBM Danmark A/S"
"SYS GROUP MFG"	"Blue Horizon Project"
"11"	"Consultant"
"SW"	"Business Development Rose RealTime & Test RealTime"
"PUBLIC SECTOR"	"Professional Developement Manager- Global Application Management Syste"
"6"	"AIM Metrics Analyst / Tools Developer"
"0"	"Software Engineer"
"SG&A"	"GFW Test Engineer"
"0"	"Software Engineer"
"PUBLIC SECTOR"	"Application Developer"
"NONE"	"EMEA Network Tower Lead"
"WW SALES"	"Manager, On Demand Provisioning Development"
"PC DIVISION"	"EMEA PCD Large Enterprise Direct"
"PUBLIC SECTOR"	"I/T Architect - eWorkplaces / KCM"
"CHIEF FINANCIAL OFFICER"	"Supplies and Equipment Purchasing Coordinator - RESO MidAtlantic Area"
"SOFTWARE SALES"	"Global S&D Operations, BP Program Manager"
"SOFTWARE GROUP"	"General Manager, Lotus Software"
"WW SALES"	"Advanced Technical Support Engineer"
"REAL ESTATE"	"IT Specialist - Application / Tool development - Technical Sales Support, Americas"
"REAL ESTATE"	"Counsel, Central Region"
"NONE"	"Director, ISC Server Manufacturing, Plant Manager, Dublin"
"MARKETING"	"VP, Corporate Brand Strategy and Worldwide Market Intelligence"
"TG STAFF"	"WW Systems Sales Leader, ISVs"
"FINANCE"	"WebSphere Everyplace Access Development"
"TG STAFF"	"HR Partner"
"SOFTWARE SALES"	"General Manager, Global Aerospace & Defense Industry"
"HUMAN RESOURCES"	"Manager Intranet Strategy"
"HUMAN RESOURCES"	"Manager, Enterprise Transformation Services"
"PUBLIC SECTOR"	"Senior Consultant, Hospitality and Leisure, Travel and Transportation"
"0"	"Quality Assurance Manager - Pune Location"
"0"	"Staff Application Programmer"
"HUMAN RESOURCES"	"Director, On Demand Workplace Program Office"
"TG STAFF"	"Integrated Photolithography, Metrology, Implant"
"TG STAFF"	"HR Partner - Integrated Supply Chain"
"0"	"Software Engineer"
"STRATEGIC OUTSOURCING"	"Country General Manager, Spain & Portugal"
"2"	"Snr IT Specialist"
"PROCUREMENT"	"Global Procurement Contracts Strategy"
"2"	"Skills and Professions Program Manager - HR"
"2"	"Managing Consultant"
"RESEARCH"	"Director, Information Technology"
"STRATEGIC OUTSOURCING"	"PDM, ITS, Technology Adoption"
"0"	"CFO, IBM India"
"SG&A"	"eServer software product project management"
"TG STAFF"	"zSeries Software"
"PUBLIC SECTOR"	"Resource Deployment Mgr"
"PUBLIC SECTOR"	"BCS HR Partner - Public"
"SMB FINANCE"	"ASSOCIATE MARKETING MANAGER"
"SALES & DISTRIBUTION"	"Global Learning and Knowledge Leader"
"STRATEGIC OUTSOURCING"	"Communications Lead -- IBM Learning Solutions"
"WW SALES"	"SWG Industry Market Mgmt., ISVs and Developer Relations linkage"
"RESEARCH"	"Programming, e-Learning, Learning Objects Framework"
"SG&A"	"Project Mgt - zseries SW Test Organization"
"WW SALES"	"HR Partner--SWG"
"PUBLIC SECTOR"	"Manager Business Controls / BS Process&Planning Xcel Energy"
"SOFTWARE GROUP"	"Product Designer"
"WW SALES"	"STAFF INFOR SYSTS ANALYST"
"34"	"Territory Partner Manager"
"0"	"IT Specialist - working in Siebel for IGA"
"PUBLIC SECTOR"	"Software Engineer, ISC Fulfillment Solutions"
"PUBLIC SECTOR"	"ITS"
"WW SALES"	"Distinguished Engineer & Director, Business Intelligence"
"2"	"AP SWG Industry Solution"
"0"	"WMQ Base Test Manager"
"PUBLIC SECTOR"	"Midrange Technical Services"
"STRATEGIC OUTSOURCING"	"Director, Emerging Markets Global SMB"
"11"	"Project Manager"
"2"	"Client Manager"
"SYS GROUP MFG"	"Manager, Internal & Executive Communications, Integrated Supply Chain"
"2"	"IT Consultant"
"NONE"	"PDM"
"SOFTWARE SALES"	"General Manager, Global Media and Entertainment, Communications Sectr"
"2"	"Project Manager, IBM Aus"
"SOFTWARE SALES"	"VP, Global Sales Operations -IBM Sales & Distribution"
"2"	"Consultant"
"PUBLIC SECTOR"	"Project Engineer/Quality Analyst"
"2"	"E-business Marketing Man"
"SI"	"HCM EMEA Business Advisor"
"IS"	"IT Specialist"
"2"	"Senior Consultant"
"FINANCE"	"Communications Writer"
"TG STAFF"	"Director, WW Linux Marketing"
"HUMAN RESOURCES"	"Mgr, Global Workforce Flexibility Project Office"
"SI"	"Strategy & Change Consultant"
"NONE"	"HR Advisor, BCS EMEA"
"NONE"	"Client IT Consultant - Insurance"
"SOFTWARE GROUP"	"PROF INFORMATION DEVELOPER"
"IS"	"General Manager IBM Italy, Greece, Israel & Turkiye"
"NONE"	"Country Operations Manager"
"2"	"Technical & General(Small office)"
"SW"	"IT Specialist"
"11"	"Consultor Gerente Application Innovation Services"
"2"	"IT Specialist (ZA Applications Technical Support)"
"2"	"Systems Support Speciali"
"PUBLIC SECTOR"	"Network Architect"
"2"	"Partner"
"NONE"	"zSeries I/T Architect, SWG Nordic"
"2"	"A/NZ Consolidation Plann"
"2"	"AP PCD Options Operation"
"2"	"TERRITORY MANAGER"
"SG&A"	"VP, Finance - IBM Systems Group"
"FINANCE"	"Lead technical support analyst"
"SEC F&S OPS"	"Global Financing - Please call on SA No."
"WW SALES"	"xSeries Software Support Specialist"
"WW SALES"	"Tivoli Software Support Manager"
"SOFTWARE GROUP"	"PRODUCT DEVELOPMENT"
"NONE"	"Country Communications Manager"
"2"	"Software Developer"
"2"	"SOFTWARE ENGINEER"
"PUBLIC SECTOR"	"Vice President, Global Project Executive, JP Morgan Chase"
"64"	"Client Manager BC"
"MS"	"IT Specialist"
"2"	"MANAGER OF PROFESSIONAL SERVICES,ITS,TAIWAN"
"NONE"	"EMEA AMS Global Resource Delivery Leader"
"STRATEGIC OUTSOURCING"	"IT Specialist"
"2"	"Business Partner Account"
"2"	"MANAGER OF FINANCIAL ANALYSIS"
"2"	"HR - PROG MGR"
"11"	"BCS Finance Sector Leader"
"2"	"Marketing Manager"
"SG&A"	"HR Partner - IBM Systems Group"
"IS"	"SMB Business development Executive"
"2"	"SENIOR SERVICES PROGRAM MANAGER"
"2"	"SENIOR SALES OPERATIONS SPECIALIST"
"PUBLIC SECTOR"	"Consultant"
"STRATEGIC OUTSOURCING"	"Senior Program Manager - Hitachi; Delivery Project Executive KV Pharmaceutical / TherRx"
"2"	"HR - PROG MGR"
"2"	"STAFF HUMAN RESOURCE PROFESSIO"
"TA"	"SW Technical Support Specialist z/OS FO"
"NONE"	"EMEA Workfoce Diversity Specialist"
"NONE"	"Alliances Business Development"
"WW SALES"	"WebSphere Business Development"
"0"	"Programmer in .NET / MS technology"
"0"	"Managing Consultant, Financial Services Sector, BCS"
"0"	"ADVISORY PROJECT MANAGER"
"0"	"Strategic Outsourcing"
"2"	"Communications Manager, Employee & Sales Communication EMEA"
"SOFTWARE GROUP"	"adv. Project Manager"
"0"	"IT Specialist"
"SMB FINANCE"	"Global Concentration Analyst"
"17"	"Project manager"
"IS"	"Verification Engineer(ITLM)"
"STRATEGIC OUTSOURCING"	"z/OS offerings, WW - IGS"
"2"	"ANZ BMS Pact Business AN"
"PUBLIC SECTOR"	"BCS Americas Professional Development"
"SYS GROUP MFG"	"Distribution Manager, ITS & US Programs"
"PUBLIC SECTOR"	"Team Lead, Solution Architecture"
"NONE"	"E-Glim Business Information Analyst"
"GS"	"Screen Designer, Web-Graphic Designer, Product Designer"
"NONE"	"SDM"
"TG STAFF"	"RTD Program Manager WW BAT"
"SG&A"	"CP Development"
"WW SALES"	"Director SWG IMC"
"WW SALES"	"Team Leader, Assist/400"
"TG STAFF"	"Business Alliances Financial Analyst"
"2"	"AP Internal Communicatio"
"PUBLIC SECTOR"	"Partner, Business Consulting Services"
"2"	"Senior Consultant"
"WW SALES"	"BI Instructor"
"IS"	"Project Manager"
"REAL ESTATE"	"BUE, ISV Growth Initiaitives, System Sales AG"
"REAL ESTATE"	"Venture Development Executive"
"WW SALES"	"Program Director, Technical Leader (Sr Certified Executive Architect)"
"NONE"	"Senior IT Specialist"
"NONE"	"Project Manager, Change Manager, Disaster Recovery"
"SG&A"	"BUE, Global Communications Sector Sales,   Systems & Technology Group"
"0"	"Business Partner relationship manager"
"0"	"Pre-Sales, Networking and Connectivity Services"
"TG STAFF"	"Vice President, zSeries Hardware Products"
"SO"	"Management Assistant / Management System SSO"
"REAL ESTATE"	"Intranet Writer"
"REAL ESTATE"	"Director, ibm.com Latin America"
"REAL ESTATE"	"Territory Partner Manager-VA/MD/DC"
"WW SALES"	"SWG Financial Analyst - RTP"
"0"	"Software Engineer"
"STRATEGIC OUTSOURCING"	"Principal, Life Sciences, Pharma Sector"
"2"	"PROCUREMENT - MANAGER"
"SOFTWARE SALES"	"Analytic Strategist, S&D MI - Marketing Analytics"
"IS"	"Project Manager"
"PUBLIC SECTOR"	"Contracts & Negotiations Advisor/Certified Executive Project Manager"
"RESEARCH"	"VP, Technical Strategy and Worldwide Operations, IBM Research"
"SOFTWARE SALES"	"Analyst Relations - Communications & Analyst Events"
"9"	"MARKETING EXECUTIVE for IBM Mexico"
"MARKETING"	"Manager, Corporate Community Relations"
"NONE"	"Government Programs"
"TG STAFF"	"Power PC Characterization"
"RESEARCH"	"Deep Thunder, Weather Modelling/HPC"
"0"	"Sr. Procurement Application Support Representative- North Americas Procurement Application Support Center"
"0"	"Application Programmer"
"PC DIVISION"	"Manager, Active Content Production Team"
"2"	"eBusiness Solution Center,  Client Technology Center"
"TG STAFF"	"300mm FEOL RIE Process Engineer"
"2"	"Executive Compenastion Japan & IGS lead"
"HUMAN RESOURCES"	"Associate IT Architect, Security & Privacy Programs - CIO"
"0"	"Staff Procurement Professional"
"PUBLIC SECTOR"	"WorldWide APEX Team - AIX/Essbase support"
"SOFTWARE SALES"	"IT Architect"
"HUMAN RESOURCES"	"Director, User Experience, IBM Intranet"
"2"	"Senior I/T Specialist"
"HUMAN RESOURCES"	"Workforce Diversity Communications Operations"
"WW SALES"	"WebSphere Security"
"PUBLIC SECTOR"	"Manager, Unix Delivery Compliance Administrators"
"9"	"DISTRIB.CHANNEL MGMNT"
"REAL ESTATE"	"Assistant to Rob Kent, eServer BUE - West & Kevin Klora, iSeries Sales Mgr - West"
"2"	"Client Relationship Mgr"
"PUBLIC SECTOR"	"BTO Mexico Leader"
"NONE"	"Industrial Sector Manager"
"0"	"Application Developement"
"0"	"Staff Application Programmer"
"0"	"Application Programmer"
"STRATEGIC OUTSOURCING"	"Director, IT Services, SMB East Region"
"REAL ESTATE"	"Client Services Manager, Industrial & Distribution"
"2"	"PCD Global Account Manager - Industrial Sector"
"2"	"Global Financial Markets Industry Architect"
"REAL ESTATE"	"Marketing Manager, SMB Healthcare; SMB Named Competitive Accounts"
"WW SALES"	"Program Manager"
"NONE"	"IT Specialist, Portal Implementation, Oracle ERP and E-business Solutions"
"NONE"	"ITS"
"TG STAFF"	"PowerPC custom circuit design"
"NONE"	"Competitive consultant, Systems Group"
"2"	"Senior Performance Analy"
"SOFTWARE SALES"	"Global HR Partner, Financial Services Sector"
"SMB FINANCE"	"IGF Global Pricing"
"IS"	"Manager of Finance and Planning Emea Public Sector"
"PUBLIC SECTOR"	"Certified I/T Architect (AMS - EAI Practice)"
"PUBLIC SECTOR"	"STSM, Certified Executive IT Architect, Chief Architect SOA & Web Services COE"
"TG STAFF"	"Deep Computing Marketing Manager"
"SOFTWARE GROUP"	"TECH CUST SUPPT MGR 1ST LINE"
"2"	"Consulting Sales Specialist Manager"
"0"	"AS/400 Application Leader, IT Team Lead"
"0"	"Software Engineer"
"2"	"Pls Business Manager"
"0"	"SAP Consultant"
"0"	"BCS PAMS GR Solution Manager"
"0"	"DB2 UDB SVT"
"0"	"R&D Engineer"
"0"	"IT Specialist"
"0"	"Team Lead Telecom"
"SALES & DISTRIBUTION"	"Senior Editor, Business Consulting Services"
"WW SALES"	"Vice President, Provisioning and Security Development, IBM SWG"
"0"	"Application Programmer"
"NONE"	"Communications Manager IBM Global Services Nordic"
